Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification,CIK
KNDI,"Kandi Technologies Group, Inc.",4.0,205887776.0,,,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/kndi,microcap,1316517
KAAC,Kayne Anderson Acquisition Corp.,10.27,113056586.37,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/kaac,microcap,1692787
KMF,"Kayne Anderson Midstream Energy Fund, Inc",13.56,298783345.2,,2010.0,,,https://www.nasdaq.com/symbol/kmf,microcap,
KCAP,"KCAP Financial, Inc.",3.24,121037396.04,,2006.0,,,https://www.nasdaq.com/symbol/kcap,microcap,1372807
KMPH,"KemPharm, Inc.",4.7,75397484.6,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kmph,microcap,1434647
KFFB,Kentucky First Federal Bancorp,8.0,67556120.0,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/kffb,microcap,1297341
KEQU,Kewaunee Scientific Corporation,34.35,94159498.65,,,Capital Goods,Medical Specialities,https://www.nasdaq.com/symbol/kequ,microcap,55529
KEG,"Key Energy Services, Inc.",13.3,269252448.5,,2016.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/keg,microcap,318996
KTCC,Key Tronic Corporation,7.66,82419148.8,,1983.0,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/ktcc,microcap,719733
KGJI,Kingold Jewelry Inc.,1.23,81319607.46,,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/kgji,microcap,1089531
KINS,"Kingstone Companies, Inc",19.4,206873820.6,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kins,microcap,33992
KFS,"Kingsway Financial Services, Inc.",2.95,69799522.25,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kfs,microcap,1072627
KIRK,"Kirkland&#39;s, Inc.",12.08,189480767.52,,2002.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/kirk,microcap,1056285
KOPN,Kopin Corporation,2.28,174710706.84,,1992.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/kopn,microcap,771266
KF,"Korea Fund, Inc. (The)",36.7,205804535.1,,,,,https://www.nasdaq.com/symbol/kf,microcap,748691
KWEB,KraneShares Trust KraneShares CSI China Internet ETF,50.96,173264000.0,,,,,https://www.nasdaq.com/symbol/kweb,microcap,
KRYS,"Krystal Biotech, Inc.",16.73,183677264.68,,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/krys,microcap,1711279
KVHI,"KVH Industries, Inc.",12.5,220804350.0,,1996.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/kvhi,microcap,1007587
FSTR,L.B. Foster Company,23.7,250345470.0,,,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/fstr,microcap,352825
LSBK,"Lake Shore Bancorp, Inc.",17.35,105063254.65,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/lsbk,microcap,1341318
LAKE,"Lakeland Industries, Inc.",12.7,103075727.3,,1986.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/lake,microcap,798081
LCA,"Landcadia Holdings, Inc.",10.17,77449360.41,,2016.0,Finance,Business Services,https://www.nasdaq.com/symbol/lca,microcap,1653247
LARK,Landmark Bancorp Inc.,29.0,120720591.0,,,Finance,Major Banks,https://www.nasdaq.com/symbol/lark,microcap,1141688
LCI,Lannett Co Inc,5.15,195772872.5,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lci,microcap,57725
LTRX,"Lantronix, Inc.",5.78,105474989.04,,2000.0,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/ltrx,microcap,1114925
LDF,"Latin American Discovery Fund, Inc. (The)",10.8,71019028.8,,,,,https://www.nasdaq.com/symbol/ldf,microcap,
LAWS,"Lawson Products, Inc.",32.1,286288311.9,,,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/laws,microcap,703604
LGI,Lazard Global Total Return and Income Fund,17.99,172798213.63,,2004.0,,,https://www.nasdaq.com/symbol/lgi,microcap,
LOR,"Lazard World Dividend & Income Fund, Inc.",10.35,71209894.05,,2005.0,,,https://www.nasdaq.com/symbol/lor,microcap,
LAZY,"Lazydays Holdings, Inc.",8.0,67772864.0,,,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/lazy,microcap,1721741
LCNB,LCNB Corporation,18.85,250705867.1,,,Finance,Major Banks,https://www.nasdaq.com/symbol/lcnb,microcap,1074902
LEAF,Leaf Group Ltd.,10.95,274041970.8,,,Technology,EDP Services,https://www.nasdaq.com/symbol/leaf,microcap,
LPTX,"LEAP THERAPEUTICS, INC.",7.0,102904767.0,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/lptx,microcap,1509745
LEE,"Lee Enterprises, Incorporated",2.9,165530776.2,,,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/lee,microcap,58361
LGC,Legacy Acquisition Corp.,9.66,84314508.6,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/lgc,microcap,1698113
LGCYO,Legacy Reserves LP,15.09,105630000.0,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lgcyo,microcap,
LACQ,Leisure Acquisition Corp.,9.7,58298445.3,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/lacq,microcap,1716947
