ticker,statement,quarter,tag,value
TSLA,calculations,2018-01-01,ebitdaqoqgrowth,0.158096
TSLA,calculations,2018-01-01,ebitqoqgrowth,-0.142797
TSLA,calculations,2018-01-01,nopatqoqgrowth,-0.104462
TSLA,calculations,2018-01-01,netincomeqoqgrowth,-0.148465
TSLA,calculations,2018-01-01,epsqoqgrowth,-0.094595
TSLA,calculations,2018-01-01,ocfqoqgrowth,2.696459
TSLA,calculations,2018-01-01,fcffqoqgrowth,0.663658
TSLA,calculations,2018-01-01,investedcapitalqoqgrowth,-0.010612
TSLA,calculations,2018-01-01,grossmargin,0.133441
TSLA,calculations,2018-01-01,ebitdamargin,-0.042511
TSLA,calculations,2018-01-01,operatingmargin,-0.181903
TSLA,calculations,2018-01-01,ebitmargin,-0.194577
TSLA,calculations,2018-01-01,profitmargin,-0.234413
TSLA,calculations,2018-01-01,costofrevtorevenue,0.866559
TSLA,calculations,2018-01-01,sgaextorevenue,0.207493
TSLA,calculations,2018-01-01,rdextorevenue,0.10785
TSLA,calculations,2018-01-01,opextorevenue,0.315343
TSLA,calculations,2018-01-01,taxburdenpct,0.98834
TSLA,calculations,2018-01-01,interestburdenpct,1.218942
TSLA,calculations,2018-01-01,efftaxrate,0.01166
TSLA,calculations,2018-01-01,assetturnover,0.4583
TSLA,calculations,2018-01-01,arturnover,23.1808
TSLA,calculations,2018-01-01,invturnover,4.4037
TSLA,calculations,2018-01-01,faturnover,1.4689
TSLA,calculations,2018-01-01,apturnover,4.487
TSLA,calculations,2018-01-01,dso,15.7458
TSLA,calculations,2018-01-01,dio,82.8842
TSLA,calculations,2018-01-01,dpo,81.3456
TSLA,calculations,2018-01-01,ccc,17.2844
TSLA,calculations,2018-01-01,finleverage,0.8076
TSLA,calculations,2018-01-01,leverageratio,4.4447
TSLA,calculations,2018-01-01,compoundleveragefactor,5.4178
TSLA,calculations,2018-01-01,ltdebttoequity,1.6717
TSLA,calculations,2018-01-01,debttoequity,1.8131
TSLA,calculations,2018-01-01,roic,-0.202579
TSLA,calculations,2018-01-01,nnep,0.03853
TSLA,calculations,2018-01-01,roicnnepspread,-0.241109
TSLA,calculations,2018-01-01,rnnoa,-0.194717
TSLA,calculations,2018-01-01,roe,-0.397296
TSLA,calculations,2018-01-01,croic,-0.435419
TSLA,calculations,2018-01-01,oroa,-0.089166
TSLA,calculations,2018-01-01,roa,-0.107421
TSLA,calculations,2018-01-01,noncontrollinginterestsharingratio,0.221382
TSLA,calculations,2018-01-01,roce,-0.309341
TSLA,calculations,2018-01-01,divpayoutratio,-0.116864
TSLA,calculations,2018-01-01,augmentedpayoutratio,-0.219688
TSLA,calculations,2018-01-01,ocftocapex,0.648149
TSLA,calculations,2018-01-01,stdebttocap,0.050272
TSLA,calculations,2018-01-01,ltdebttocap,0.594251
TSLA,calculations,2018-01-01,debttototalcapital,0.644524
TSLA,calculations,2018-01-01,preferredtocap,0.0
TSLA,calculations,2018-01-01,noncontrolinttocap,0.088052
TSLA,calculations,2018-01-01,commontocap,0.267424
TSLA,calculations,2018-01-01,debttoebitda,-335.7194
