Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification
ADES,"Advanced Emissions Solutions, Inc.",11.28,226867229.04,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,microcap
ADXS,"Advaxis, Inc.",1.34,70512796.6,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs,microcap
AGC,Advent Claymore Convertible Securities and Income Fund II,5.69,155720187.36,,2007.0,,,https://www.nasdaq.com/symbol/agc,microcap
LCM,Advent/Claymore Enhanced Growth & Income Fund,7.74,71068997.34,,2005.0,,,https://www.nasdaq.com/symbol/lcm,microcap
ANW,Aegean Marine Petroleum Network Inc.,1.9,77216801.8,,2006.0,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/anw,microcap
AGLE,"Aeglea BioTherapeutics, Inc.",10.28,226108928.96,,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle,microcap
AEHR,Aehr Test Systems,2.51,55103862.3,,1997.0,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr,microcap
HIVE,"Aerohive Networks, Inc.",4.24,234569765.92,,2014.0,Technology,EDP Services,https://www.nasdaq.com/symbol/hive,microcap
ARPO,"Aerpio Pharmaceuticals, Inc.",3.35,135942520.95,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo,microcap
GNMX,"Aevi Genomic Medicine, Inc.",1.19,70615469.89,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx,microcap
AFMD,Affimed N.V.,1.6,99824108.8,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd,microcap
AGEN,Agenus Inc.,2.07,234493980.12,,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen,microcap
AIRT,"Air T, Inc.",35.2296,71995457.1672,,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt,microcap
AIRG,"Airgain, Inc.",11.34,112176731.52,,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg,microcap
AKTS,"Akoustis Technologies, Inc.",7.7,170918440.0,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts,microcap
ALSK,"Alaska Communications Systems Group, Inc.",1.95,103708952.1,,1999.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk,microcap
ABDC,Alcentra Capital Corp.,6.13,82937533.01,,,,,https://www.nasdaq.com/symbol/abdc,microcap
ALDX,"Aldeyra Therapeutics, Inc.",7.6,159409392.0,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx,microcap
AXU,Alexco Resource Corp,1.15,124198737.3,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu,microcap
ALCO,"Alico, Inc.",32.1,263218619.7,,,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco,microcap
